"","f1_irr","f2_rel","f3_rel","f4_rel","f5_irr","f6_rel","f7_irr","f8_rel","f9_irr","f10_irr","target"
"265",1,1,0,0,0,0,1,0,1,1,1
"266",1,0,0,0,1,1,1,0,1,1,1
"267",0,1,0,0,0,1,1,0,1,1,0
"268",0,0,0,0,0,0,0,1,0,1,1
"269",0,1,1,0,0,0,0,0,1,0,0
"270",1,0,1,0,0,1,1,0,0,0,0
"271",1,0,0,1,1,1,1,1,1,0,1
"272",1,0,1,1,0,0,0,0,1,0,0
"273",1,1,0,0,1,1,1,1,1,1,1
"274",0,0,1,0,1,0,1,1,1,0,0
"275",0,0,1,1,0,0,0,1,0,1,1
"276",0,0,0,0,0,0,1,1,0,0,1
"277",1,1,0,1,0,0,0,0,0,1,0
"278",1,0,0,1,0,0,0,1,0,0,0
"279",1,1,1,0,0,1,0,1,0,1,0
"280",1,0,0,0,0,1,1,1,1,0,0
"281",0,0,1,0,0,1,1,0,1,0,0
"282",1,0,1,1,0,1,0,1,0,0,0
"283",1,0,1,0,0,0,1,0,0,0,1
"284",1,1,0,1,1,1,0,1,1,1,0
"285",0,0,1,0,1,0,1,1,0,0,0
"286",1,1,0,1,0,0,1,1,0,0,1
"287",0,0,1,0,1,1,0,1,1,1,1
"288",0,0,0,1,0,1,1,0,1,1,0
"289",0,0,1,0,0,1,0,1,1,1,1
"290",1,1,0,1,1,1,0,0,0,1,1
"291",0,0,1,0,1,1,1,1,1,0,1
"292",1,1,0,0,1,1,1,1,0,1,1
"293",0,1,0,1,1,1,0,1,0,0,0
"294",0,0,0,0,1,1,1,1,0,0,0
"295",1,0,0,1,0,1,1,1,0,1,1
"296",0,0,1,1,1,0,1,1,1,0,1
"297",0,0,0,1,1,1,0,0,1,1,0
"298",0,1,0,1,0,1,1,0,1,1,1
"299",1,1,0,1,0,1,1,1,1,0,0
"300",1,1,1,1,1,1,1,1,0,0,1
"301",1,0,1,0,1,1,1,1,1,1,1
"302",0,1,1,0,1,1,1,0,0,1,1
"303",0,0,0,1,0,1,1,1,1,1,1
"304",0,0,1,1,0,0,1,1,1,1,1
"305",1,1,1,0,0,0,1,1,1,0,1
"306",0,0,1,1,1,1,1,1,0,1,0
"307",0,0,0,1,1,0,0,1,1,1,0
"308",0,0,0,1,1,1,1,0,1,0,0
"309",0,0,1,1,0,1,0,0,1,1,1
"310",0,0,0,1,0,1,0,0,1,0,0
"311",1,1,1,0,0,1,1,0,0,1,1
"312",1,0,1,1,1,0,0,0,0,0,0
"313",0,1,0,1,0,0,0,1,1,1,1
"314",0,1,0,1,1,0,1,1,0,1,1
"315",1,0,0,1,1,0,1,1,0,0,0
"316",0,1,0,0,0,0,1,1,0,0,0
"317",0,0,0,1,0,0,1,1,0,0,0
"318",0,0,0,1,1,1,0,1,1,1,1
"319",1,1,1,0,1,1,0,0,0,0,1
"320",0,0,1,0,1,0,1,1,1,1,0
"321",0,1,0,0,0,1,0,0,0,1,0
"322",0,0,1,1,0,0,1,0,0,1,0
"323",0,0,1,1,1,1,1,0,1,0,1
"324",1,1,0,0,1,0,0,0,0,0,1
"325",1,1,1,1,0,0,0,0,1,0,1
"326",1,1,1,0,0,0,1,1,0,1,1
"327",0,1,0,0,0,1,0,1,0,0,1
"328",0,0,0,1,1,1,1,1,1,0,1
"329",0,1,0,1,0,0,1,0,0,0,0
"330",0,1,1,0,1,1,0,1,1,1,0
"331",1,1,0,1,1,1,1,0,1,1,1
"332",1,1,1,0,0,1,1,1,1,1,0
"333",0,0,1,1,1,1,0,0,0,1,1
"334",0,0,0,1,1,0,0,1,0,1,0
"335",0,0,1,1,0,1,1,0,1,0,1
"336",0,0,0,0,1,0,1,1,1,1,1
"337",1,1,1,1,1,0,1,1,1,0,0
"338",0,1,1,0,0,0,1,0,0,1,0
"339",0,1,0,1,0,0,1,1,0,1,1
"340",1,0,1,1,0,1,1,1,0,1,0
"341",1,1,0,0,0,1,0,0,0,1,0
"342",0,0,1,0,1,0,0,1,1,0,0
"343",0,1,1,1,0,0,0,1,0,0,0
"344",1,1,1,1,1,1,1,1,0,1,1
"345",0,1,1,1,1,0,0,0,0,1,1
"346",1,0,0,1,0,0,0,0,1,0,1
"347",1,0,0,1,1,0,0,0,0,0,1
"348",0,1,0,1,1,0,1,0,1,0,0
"349",0,1,1,1,1,0,0,1,1,0,0
"350",0,1,0,1,1,0,1,0,0,0,0
"351",0,1,1,0,0,1,0,1,1,1,0
"352",1,1,0,0,1,1,1,1,1,0,1
"353",0,0,1,1,1,1,1,0,0,0,1
"354",0,0,0,0,1,0,1,0,0,0,0
"355",0,1,1,0,1,0,0,1,0,0,1
"356",0,1,1,0,1,1,0,0,1,1,1
"357",1,0,0,0,1,1,1,0,0,0,1
"358",1,1,1,1,1,1,0,1,1,1,1
"359",1,0,1,1,0,0,0,0,0,0,0
"360",0,1,1,0,1,1,1,1,0,0,0
"361",0,0,1,0,0,1,1,1,0,0,1
"362",0,1,0,1,0,1,0,0,1,1,1
"363",1,0,0,0,0,0,0,0,1,0,0
"364",1,1,0,1,1,1,1,1,1,1,0
"365",0,1,1,0,1,0,0,0,0,1,0
"366",0,0,1,0,1,1,0,0,1,0,0
"367",0,0,0,0,0,0,1,1,1,1,1
"368",1,0,1,1,1,0,1,0,0,1,0
"369",0,1,1,0,1,1,1,0,1,0,1
"370",0,1,0,0,0,0,0,0,0,1,1
"371",1,1,0,0,1,0,1,1,0,1,0
"372",1,0,1,0,1,0,0,1,0,0,0
"373",1,1,1,1,1,1,1,0,0,1,0
"374",0,0,0,0,0,1,0,1,0,1,0
"375",0,1,0,1,0,0,1,1,1,1,1
"376",1,1,1,0,0,1,0,1,0,0,0
"377",0,0,1,1,0,0,0,1,1,0,1
"378",0,0,1,1,1,0,1,0,0,0,0
"379",1,0,1,0,0,0,0,0,0,1,1
"380",0,1,0,1,1,0,0,0,0,0,0
"381",1,1,1,0,1,1,0,0,0,1,1
"382",0,1,0,0,0,0,0,1,1,1,0
"383",1,0,1,0,0,0,1,1,0,1,0
"384",0,0,1,0,0,0,0,0,1,0,1
"385",0,0,1,1,1,0,0,0,0,1,0
"386",1,1,1,1,0,1,1,1,0,0,1
"387",0,0,0,1,1,0,1,0,1,1,1
"388",1,1,1,1,1,1,0,0,0,1,0
"389",1,1,0,0,0,0,1,0,1,0,1
"390",1,0,1,1,0,0,0,1,1,1,1
"391",0,0,0,1,1,1,0,0,0,0,0
"392",0,1,0,1,0,1,0,1,1,1,0
"393",0,1,1,0,0,1,1,0,1,1,1
"394",0,1,1,0,0,1,1,1,0,0,0
"395",0,0,1,1,1,0,0,1,0,0,1
"396",1,1,1,1,0,0,1,0,1,1,1
"397",1,1,1,1,1,0,0,0,0,0,1
"398",1,1,0,1,0,0,1,1,1,1,1
"399",1,1,0,1,1,0,0,1,1,0,1
"400",1,0,0,0,1,0,0,0,0,0,0
"401",1,0,0,0,1,0,0,0,0,1,0
"402",1,0,0,0,0,1,1,1,0,0,0
"403",0,1,1,1,1,0,1,0,1,0,1
"404",0,0,0,1,1,0,1,1,1,1,0
"405",1,1,1,1,0,0,0,0,0,0,1
"406",0,0,0,1,1,1,0,0,0,1,0
"407",1,1,1,1,0,1,0,0,1,0,0
"408",0,0,1,1,1,0,0,0,0,0,0
"409",1,1,0,0,0,0,0,0,1,0,1
"410",0,1,0,0,1,0,1,1,1,1,0
"411",1,0,1,1,0,0,1,0,1,1,0
"412",1,0,1,1,1,1,0,0,1,0,1
"413",1,1,1,1,1,0,1,1,1,1,0
"414",1,0,0,0,0,1,0,0,0,0,1
"415",1,1,1,1,0,0,0,1,1,0,0
"416",1,1,0,0,0,1,1,0,1,0,0
"417",1,1,0,1,1,0,0,1,0,0,1
"418",0,0,0,0,0,0,0,1,1,1,1
"419",1,1,1,0,1,0,0,1,1,0,1
"420",1,0,1,0,1,1,0,1,0,1,1
"421",0,0,0,0,1,1,1,1,0,1,0
"422",1,0,1,1,0,0,1,0,0,1,0
"423",1,1,0,1,1,1,0,0,0,0,1
"424",0,1,0,1,1,1,0,1,1,1,0
"425",1,0,0,0,0,0,0,0,0,0,0
"426",1,0,1,1,1,0,0,0,1,1,0
"427",1,1,1,0,0,1,0,0,1,1,1
"428",0,1,0,1,0,1,1,1,1,0,0
"429",1,0,0,1,0,0,1,0,1,1,1
"430",1,0,0,1,1,0,0,0,1,1,1
"431",1,1,0,1,1,0,1,1,1,1,1
"432",1,1,0,1,0,1,1,1,0,0,0
"433",0,1,1,0,1,1,0,0,1,0,1
"434",1,0,1,0,1,1,0,0,0,0,0
"435",0,0,0,0,1,1,1,0,0,1,1
"436",1,1,1,0,1,1,1,1,0,1,0
"437",0,0,1,1,1,0,0,1,1,0,1
"438",1,1,1,0,1,0,0,0,1,0,0
"439",0,1,0,1,1,0,1,1,0,0,1
"440",0,1,1,1,0,0,1,0,1,0,1
"441",0,1,1,0,1,1,0,1,0,1,0
"442",0,1,0,0,1,1,0,0,0,0,0
"443",1,1,0,1,0,1,0,1,0,1,0
"444",0,0,1,1,0,0,0,1,0,0,1
"445",1,0,1,1,0,1,1,0,1,1,1
"446",1,1,0,0,1,1,1,0,1,1,0
"447",1,1,1,0,1,0,1,1,1,1,1
"448",0,0,1,0,1,0,0,0,0,0,1
"449",0,1,0,0,0,1,1,1,0,0,1
"450",0,0,0,0,1,1,1,1,1,0,0
"451",0,0,1,0,1,0,0,0,0,1,1
"452",0,0,1,0,0,1,1,1,0,1,1
"453",1,1,0,1,1,0,0,0,1,1,0
"454",1,0,0,1,0,1,0,1,1,1,1
"455",0,0,0,1,1,0,1,1,1,0,0
"456",1,0,0,0,1,1,0,1,1,1,0
"457",1,1,1,1,1,1,0,0,0,0,0
"458",0,1,1,0,1,1,1,0,1,1,1
"459",0,0,0,0,1,1,0,0,1,1,1
"460",1,1,1,1,1,1,1,1,1,0,1
"461",0,1,0,1,1,1,1,0,1,1,1
"462",1,1,1,1,1,0,0,0,1,1,1
"463",0,0,0,1,0,0,0,1,0,0,0
"464",0,0,0,1,0,1,0,0,1,1,0
"465",1,0,1,1,1,0,0,1,0,1,1
"466",0,0,0,1,0,0,1,0,1,0,1
"467",0,1,0,1,0,1,0,1,0,0,0
"468",0,1,0,1,0,1,0,1,1,0,0
"469",1,0,1,1,1,0,1,1,1,0,1
"470",0,0,0,0,1,0,0,0,0,1,0
"471",1,0,1,0,0,0,1,0,0,1,1
"472",0,0,0,0,1,1,0,1,1,0,0
"473",0,1,1,1,0,0,1,0,0,0,1
"474",0,0,0,1,0,1,1,1,0,1,1
"475",0,1,0,0,1,0,0,0,0,0,1
"476",0,0,1,0,1,1,0,1,0,0,1
"477",0,1,0,0,0,1,1,1,1,0,1
"478",0,1,0,1,0,0,0,1,1,0,1
"479",0,1,1,0,1,1,1,1,1,1,0
"480",0,1,0,0,1,0,1,0,1,0,1
"481",0,1,1,1,1,0,0,0,0,0,1
"482",1,0,0,1,1,0,1,1,0,1,0
"483",1,0,1,1,1,1,1,1,0,0,0
"484",0,1,0,1,0,0,0,0,0,0,0
"485",0,0,1,0,1,0,0,0,1,1,1
"486",0,1,1,0,0,0,0,0,0,1,0
"487",0,0,1,1,0,1,0,0,1,0,1
"488",0,0,1,1,1,1,1,0,0,1,1
"489",0,1,1,0,0,1,1,0,0,1,1
"490",1,0,1,0,1,0,0,1,1,0,0
"491",1,0,0,0,1,0,0,1,1,1,1
"492",1,1,1,1,0,0,1,0,0,0,1
"493",0,0,1,1,0,0,1,0,0,0,0
"494",1,0,1,1,0,1,1,1,1,1,0
"495",1,1,1,1,0,1,0,1,0,0,1
"496",1,1,0,0,0,1,1,0,0,1,0
"497",1,1,1,0,0,1,0,0,0,1,1
"498",0,0,0,0,0,1,0,0,1,0,1
"499",1,0,1,1,1,0,0,1,1,1,1
"500",1,1,1,0,1,1,1,0,0,1,1
"501",1,0,1,0,1,1,0,0,1,0,0
"502",0,1,0,0,0,0,1,0,1,0,1
"503",0,0,1,0,0,0,0,1,0,1,0
"504",1,0,0,1,0,1,1,1,0,0,1
"505",1,1,0,1,1,0,1,0,1,0,0
"506",0,0,0,1,1,0,0,0,0,1,1
"507",0,1,0,0,1,1,0,1,0,1,1
"508",0,1,0,0,1,1,1,0,0,1,0
"509",1,1,0,0,0,0,1,1,0,0,0
"510",0,0,1,1,0,0,1,1,1,0,1
"511",1,0,0,1,1,1,0,0,0,0,0
"512",1,0,0,1,1,1,1,1,0,0,1
"513",0,0,1,0,1,0,1,0,0,1,1
"514",1,1,1,1,0,1,0,1,1,0,1
"515",0,0,0,0,1,1,0,1,0,1,0
"516",0,1,1,1,1,0,1,1,0,0,0
"517",0,0,1,1,0,0,0,1,1,1,1
"518",1,0,1,1,1,1,1,1,0,1,0
"519",0,1,0,0,1,1,1,1,1,1,1
"520",1,0,1,1,1,0,1,0,0,0,0
"521",1,0,1,1,1,0,1,1,1,1,1
"522",1,0,1,1,0,0,0,0,0,1,0
"523",0,0,1,1,0,1,1,0,1,1,1
"524",0,1,1,0,1,0,1,0,1,0,0
"525",0,0,0,1,0,1,0,1,1,0,1
"526",0,1,0,1,0,1,1,1,0,1,0
"527",0,0,0,0,0,1,0,0,0,0,1
"528",0,1,0,1,0,1,1,1,0,0,0
"529",0,0,1,1,0,1,1,0,0,1,1
"530",0,1,0,0,0,0,0,0,1,0,1
"531",1,0,0,1,1,0,0,0,1,0,1
"532",1,1,0,0,0,0,0,1,0,1,0
"533",1,1,1,0,1,0,1,1,0,1,1
"534",1,1,0,1,1,0,1,1,0,1,1
"535",1,0,1,1,1,0,0,0,0,1,0
"536",1,0,1,0,0,1,1,1,1,0,1
"537",1,0,0,0,1,1,1,1,0,1,0
"538",1,0,0,0,1,0,1,1,1,0,1
"539",1,1,1,0,0,0,0,0,0,0,0
"540",0,0,1,0,1,1,1,0,1,1,0
"541",1,0,1,0,1,0,1,0,1,0,1
"542",0,0,1,0,1,1,1,1,0,0,1
"543",0,0,0,0,0,1,1,1,1,0,0
"544",0,0,0,0,0,0,1,0,0,0,0
"545",1,0,1,1,1,1,0,0,1,1,1
"546",1,1,1,1,0,1,1,1,1,1,1
"547",0,0,1,0,0,1,1,1,1,0,1
"548",1,1,0,1,1,1,0,0,1,0,1
"549",0,0,0,0,0,1,0,0,1,1,1
"550",0,1,1,0,1,0,0,0,1,0,0
"551",0,1,0,1,1,0,0,0,0,1,0
"552",0,1,1,1,0,0,0,1,0,1,0
"553",0,1,1,0,0,0,0,0,0,0,0
"554",1,0,1,1,1,0,0,0,1,0,0
